fips,state,pop_2019,date,total_doses_state_level,cum_deaths,confirmed,1st_dose,2nd_dose,est_booster_doses
39.0,Ohio,11689100.0,2020-12-14,50.0,10583.0,570602.0,50.0,0.0,0.0
10.0,Delaware,973764.0,2020-12-15,92.0,913.0,47142.0,92.0,0.0,0.0
12.0,Florida,21477737.0,2020-12-15,28.0,20082.0,1143794.0,28.0,0.0,0.0
25.0,Massachusetts,6892503.0,2020-12-15,94.0,11441.0,297167.0,94.0,0.0,0.0
26.0,Michigan,9986857.0,2020-12-15,10.0,11384.0,459477.0,10.0,0.0,0.0
39.0,Ohio,11689100.0,2020-12-15,787.0,10768.0,579357.0,787.0,0.0,0.0
50.0,Vermont,623989.0,2020-12-15,20.0,100.0,5923.0,20.0,0.0,0.0
53.0,Washington,7614893.0,2020-12-15,27.0,2941.0,214265.0,27.0,0.0,0.0
10.0,Delaware,973764.0,2020-12-16,105.0,926.0,47929.0,105.0,0.0,0.0
12.0,Florida,21477737.0,2020-12-16,2632.0,20204.0,1155335.0,2632.0,0.0,0.0
25.0,Massachusetts,6892503.0,2020-12-16,3277.0,11511.0,303087.0,3277.0,0.0,0.0
26.0,Michigan,9986857.0,2020-12-16,352.0,11476.0,464029.0,352.0,0.0,0.0
31.0,Nebraska,1934408.0,2020-12-16,1746.0,1448.0,152103.0,1746.0,0.0,0.0
39.0,Ohio,11689100.0,2020-12-16,2501.0,10979.0,584766.0,2501.0,0.0,0.0
47.0,Tennessee,6829174.0,2020-12-16,223.0,5668.0,484285.0,223.0,0.0,0.0
50.0,Vermont,623989.0,2020-12-16,399.0,105.0,6009.0,399.0,0.0,0.0
53.0,Washington,7614893.0,2020-12-16,1600.0,3042.0,214265.0,1600.0,0.0,0.0
9.0,Connecticut,3565287.0,2020-12-17,1982.0,5552.0,160102.0,1982.0,0.0,0.0
10.0,Delaware,973764.0,2020-12-17,455.0,932.0,48768.0,455.0,0.0,0.0
12.0,Florida,21477737.0,2020-12-17,13091.0,20305.0,1168483.0,13091.0,0.0,0.0
16.0,Idaho,1787065.0,2020-12-17,321.0,1259.0,126878.0,321.0,0.0,0.0
25.0,Massachusetts,6892503.0,2020-12-17,9853.0,11556.0,308197.0,9853.0,0.0,0.0
26.0,Michigan,9986857.0,2020-12-17,1097.0,11688.0,468415.0,1097.0,0.0,0.0
31.0,Nebraska,1934408.0,2020-12-17,1746.0,1453.0,153400.0,1746.0,0.0,0.0
39.0,Ohio,11689100.0,2020-12-17,4235.0,11187.0,596178.0,4235.0,0.0,0.0
41.0,Oregon,4217737.0,2020-12-17,254.0,1283.0,98936.0,254.0,0.0,0.0
46.0,South Dakota,884659.0,2020-12-17,1515.0,1301.0,93197.0,1515.0,0.0,0.0
47.0,Tennessee,6829174.0,2020-12-17,1663.0,5845.0,493230.0,1663.0,0.0,0.0
49.0,Utah,3205958.0,2020-12-17,407.0,826.0,188682.0,407.0,0.0,0.0
50.0,Vermont,623989.0,2020-12-17,1160.0,105.0,6149.0,1160.0,0.0,0.0
53.0,Washington,7614893.0,2020-12-17,4318.0,3117.0,217205.0,4318.0,0.0,0.0
1.0,Alabama,4903185.0,2020-12-18,5181.0,4296.0,315683.0,5181.0,0.0,0.0
2.0,Alaska,731545.0,2020-12-18,4270.0,183.0,43377.0,4270.0,0.0,0.0
5.0,Arkansas,3017804.0,2020-12-18,4000.0,3139.0,197421.0,4000.0,0.0,0.0
9.0,Connecticut,3565287.0,2020-12-18,1982.0,5581.0,162782.0,1982.0,0.0,0.0
10.0,Delaware,973764.0,2020-12-18,1980.0,939.0,49109.0,1980.0,0.0,0.0
12.0,Florida,21477737.0,2020-12-18,26339.0,20401.0,1181483.0,26339.0,0.0,0.0
16.0,Idaho,1787065.0,2020-12-18,944.0,1275.0,128218.0,944.0,0.0,0.0
23.0,Maine,1344212.0,2020-12-18,2264.0,281.0,18337.0,2264.0,0.0,0.0
25.0,Massachusetts,6892503.0,2020-12-18,18642.0,11608.0,313867.0,18642.0,0.0,0.0
26.0,Michigan,9986857.0,2020-12-18,2847.0,11753.0,472790.0,2847.0,0.0,0.0
30.0,Montana,1068778.0,2020-12-18,3000.0,854.0,75992.0,3000.0,0.0,0.0
31.0,Nebraska,1934408.0,2020-12-18,1746.0,1470.0,154745.0,1746.0,0.0,0.0
34.0,New Jersey,8882190.0,2020-12-18,2149.0,18124.0,466320.0,2149.0,0.0,0.0
39.0,Ohio,11689100.0,2020-12-18,7905.0,11396.0,605862.0,7905.0,0.0,0.0
40.0,Oklahoma,3956971.0,2020-12-18,2253.0,2161.0,251821.0,2253.0,0.0,0.0
41.0,Oregon,4217737.0,2020-12-18,688.0,1304.0,100308.0,688.0,0.0,0.0
44.0,Rhode Island,1059361.0,2020-12-18,1226.0,1734.0,77812.0,1226.0,0.0,0.0
46.0,South Dakota,884659.0,2020-12-18,1515.0,1329.0,93772.0,1515.0,0.0,0.0
47.0,Tennessee,6829174.0,2020-12-18,9517.0,5960.0,503651.0,9517.0,0.0,0.0
48.0,Texas,28995881.0,2020-12-18,4187.0,25736.0,1570908.0,4187.0,0.0,0.0
49.0,Utah,3205958.0,2020-12-18,407.0,833.0,190660.0,407.0,0.0,0.0
50.0,Vermont,623989.0,2020-12-18,2453.0,107.0,6243.0,2453.0,0.0,0.0
53.0,Washington,7614893.0,2020-12-18,12195.0,3104.0,220268.0,12195.0,0.0,0.0
54.0,West Virginia,1792147.0,2020-12-18,1830.0,1091.0,69751.0,1830.0,0.0,0.0
1.0,Alabama,4903185.0,2020-12-19,5181.0,4389.0,319904.0,5181.0,0.0,0.0
2.0,Alaska,731545.0,2020-12-19,4270.0,184.0,43713.0,4270.0,0.0,0.0
5.0,Arkansas,3017804.0,2020-12-19,4000.0,3191.0,200114.0,4000.0,0.0,0.0
8.0,Colorado,5758736.0,2020-12-19,12123.0,4339.0,306598.0,12123.0,0.0,0.0
9.0,Connecticut,3565287.0,2020-12-19,1982.0,5581.0,162782.0,1982.0,0.0,0.0
10.0,Delaware,973764.0,2020-12-19,3072.0,952.0,50136.0,3072.0,0.0,0.0
12.0,Florida,21477737.0,2020-12-19,41164.0,20473.0,1193165.0,41164.0,0.0,0.0
16.0,Idaho,1787065.0,2020-12-19,2306.0,1275.0,129069.0,2306.0,0.0,0.0
23.0,Maine,1344212.0,2020-12-19,2264.0,292.0,18738.0,2264.0,0.0,0.0
25.0,Massachusetts,6892503.0,2020-12-19,22609.0,11655.0,318205.0,22609.0,0.0,0.0
26.0,Michigan,9986857.0,2020-12-19,9781.0,11958.0,476547.0,9781.0,0.0,0.0
30.0,Montana,1068778.0,2020-12-19,3000.0,864.0,76619.0,3000.0,0.0,0.0
31.0,Nebraska,1934408.0,2020-12-19,1746.0,1475.0,155415.0,1746.0,0.0,0.0
34.0,New Jersey,8882190.0,2020-12-19,2149.0,18173.0,471084.0,2149.0,0.0,0.0
38.0,North Dakota,762062.0,2020-12-19,5662.0,1231.0,89784.0,5662.0,0.0,0.0
39.0,Ohio,11689100.0,2020-12-19,8087.0,11584.0,614429.0,8087.0,0.0,0.0
40.0,Oklahoma,3956971.0,2020-12-19,2253.0,2189.0,255941.0,2253.0,0.0,0.0
41.0,Oregon,4217737.0,2020-12-19,2423.0,1340.0,101814.0,2423.0,0.0,0.0
44.0,Rhode Island,1059361.0,2020-12-19,1226.0,1754.0,77812.0,1226.0,0.0,0.0
46.0,South Dakota,884659.0,2020-12-19,6198.0,1350.0,94336.0,6198.0,0.0,0.0
47.0,Tennessee,6829174.0,2020-12-19,15766.0,5960.0,503651.0,15766.0,0.0,0.0
48.0,Texas,28995881.0,2020-12-19,4187.0,25920.0,1585167.0,4187.0,0.0,0.0
49.0,Utah,3205958.0,2020-12-19,3648.0,840.0,192243.0,3648.0,0.0,0.0
50.0,Vermont,623989.0,2020-12-19,2835.0,108.0,6343.0,2835.0,0.0,0.0
53.0,Washington,7614893.0,2020-12-19,17983.0,3104.0,222600.0,17983.0,0.0,0.0
54.0,West Virginia,1792147.0,2020-12-19,5450.0,1122.0,71215.0,5450.0,0.0,0.0
1.0,Alabama,4903185.0,2020-12-20,5181.0,4389.0,322452.0,5181.0,0.0,0.0
2.0,Alaska,731545.0,2020-12-20,5674.0,184.0,43896.0,5674.0,0.0,0.0
5.0,Arkansas,3017804.0,2020-12-20,4000.0,3237.0,201650.0,4000.0,0.0,0.0
8.0,Colorado,5758736.0,2020-12-20,22539.0,4368.0,308890.0,22539.0,0.0,0.0
9.0,Connecticut,3565287.0,2020-12-20,1982.0,5581.0,162782.0,1982.0,0.0,0.0
10.0,Delaware,973764.0,2020-12-20,3090.0,966.0,50616.0,3090.0,0.0,0.0
12.0,Florida,21477737.0,2020-12-20,45607.0,20568.0,1201566.0,45607.0,0.0,0.0
13.0,Georgia,10617423.0,2020-12-20,1258.0,10383.0,587918.0,1258.0,0.0,0.0
16.0,Idaho,1787065.0,2020-12-20,3582.0,1280.0,129960.0,3582.0,0.0,0.0
23.0,Maine,1344212.0,2020-12-20,2264.0,292.0,18946.0,2264.0,0.0,0.0
25.0,Massachusetts,6892503.0,2020-12-20,24029.0,11715.0,322446.0,28488.0,0.0,0.0
26.0,Michigan,9986857.0,2020-12-20,12430.0,11958.0,476547.0,12430.0,0.0,0.0
30.0,Montana,1068778.0,2020-12-20,3000.0,865.0,77170.0,3000.0,0.0,0.0
31.0,Nebraska,1934408.0,2020-12-20,1746.0,1486.0,156382.0,1746.0,0.0,0.0
34.0,New Jersey,8882190.0,2020-12-20,2149.0,18194.0,476776.0,2149.0,0.0,0.0
38.0,North Dakota,762062.0,2020-12-20,5662.0,1231.0,90035.0,5662.0,0.0,0.0
39.0,Ohio,11689100.0,2020-12-20,8123.0,11773.0,622806.0,8123.0,0.0,0.0
40.0,Oklahoma,3956971.0,2020-12-20,2253.0,2212.0,260934.0,2253.0,0.0,0.0
41.0,Oregon,4217737.0,2020-12-20,3502.0,1341.0,102930.0,3502.0,0.0,0.0
44.0,Rhode Island,1059361.0,2020-12-20,1226.0,1768.0,77812.0,1226.0,0.0,0.0
46.0,South Dakota,884659.0,2020-12-20,6311.0,1361.0,94727.0,6311.0,0.0,0.0
47.0,Tennessee,6829174.0,2020-12-20,19889.0,6071.0,519687.0,19889.0,0.0,0.0
48.0,Texas,28995881.0,2020-12-20,26007.0,26034.0,1594965.0,26007.0,0.0,0.0
49.0,Utah,3205958.0,2020-12-20,6520.0,843.0,193706.0,6520.0,0.0,0.0
50.0,Vermont,623989.0,2020-12-20,3070.0,111.0,6443.0,3070.0,0.0,0.0
53.0,Washington,7614893.0,2020-12-20,21855.0,3104.0,222600.0,21855.0,0.0,0.0
54.0,West Virginia,1792147.0,2020-12-20,5450.0,1128.0,72342.0,5450.0,0.0,0.0
55.0,Wisconsin,5822434.0,2020-12-20,12097.0,4743.0,492724.0,12097.0,0.0,0.0
1.0,Alabama,4903185.0,2020-12-21,5181.0,4389.0,324832.0,5181.0,0.0,0.0
2.0,Alaska,731545.0,2020-12-21,7118.0,184.0,44050.0,7118.0,0.0,0.0
5.0,Arkansas,3017804.0,2020-12-21,4000.0,3295.0,203107.0,4000.0,0.0,0.0
8.0,Colorado,5758736.0,2020-12-21,33934.0,4378.0,311036.0,33934.0,0.0,0.0
9.0,Connecticut,3565287.0,2020-12-21,7761.0,5676.0,167377.0,7761.0,0.0,0.0
10.0,Delaware,973764.0,2020-12-21,4404.0,973.0,51056.0,4404.0,0.0,0.0
12.0,Florida,21477737.0,2020-12-21,48388.0,20680.0,1212581.0,48388.0,0.0,0.0
13.0,Georgia,10617423.0,2020-12-21,17870.0,10399.0,591438.0,17870.0,0.0,0.0
16.0,Idaho,1787065.0,2020-12-21,4348.0,1301.0,130877.0,4348.0,0.0,0.0
23.0,Maine,1344212.0,2020-12-21,2264.0,293.0,19285.0,2264.0,0.0,0.0
25.0,Massachusetts,6892503.0,2020-12-21,30810.0,11757.0,326275.0,37400.0,0.0,0.0
26.0,Michigan,9986857.0,2020-12-21,13321.0,12035.0,481489.0,13321.0,0.0,0.0
30.0,Montana,1068778.0,2020-12-21,3000.0,881.0,77324.0,3000.0,0.0,0.0
31.0,Nebraska,1934408.0,2020-12-21,8958.0,1511.0,157103.0,8958.0,0.0,0.0
34.0,New Jersey,8882190.0,2020-12-21,2149.0,18223.0,480661.0,2149.0,0.0,0.0
36.0,New York,19453561.0,2020-12-21,38000.0,36389.0,866888.0,38000.0,0.0,0.0
38.0,North Dakota,762062.0,2020-12-21,6865.0,1233.0,90116.0,6865.0,0.0,0.0
39.0,Ohio,11689100.0,2020-12-21,14256.0,11966.0,629354.0,14256.0,0.0,0.0
40.0,Oklahoma,3956971.0,2020-12-21,2253.0,2218.0,263546.0,2253.0,0.0,0.0
41.0,Oregon,4217737.0,2020-12-21,4630.0,1347.0,103755.0,4630.0,0.0,0.0
42.0,Pennsylvania,12801989.0,2020-12-21,26563.0,13937.0,571497.0,26563.0,0.0,0.0
